feature,kind,neg_n,pos_n,neg_mean,pos_mean,neg_std,pos_std,diff,cohen_d,welch_p,mwu_p,chi2_p
word_count,continuous,100,100,12.45,15.35,4.9367,6.2026,2.9,0.5173,0.00033,0.000206,
char_count,continuous,100,100,60.61,77.14,24.2028,31.5191,16.53,0.5883,4.87e-05,2.76e-05,
digit_char_count,continuous,100,100,0.33,1.41,1.7295,2.7747,1.08,0.4671,0.00117,4.27e-05,
number_token_count,continuous,100,100,0.28,0.52,0.7396,0.7717,0.24,0.3175,0.0259,0.00143,
entity_count,continuous,100,100,1.03,1.92,1.1411,1.2283,0.89,0.7507,2.97e-07,6.67e-08,
person_count,continuous,100,100,0.36,0.45,0.718,0.6723,0.09,0.1294,0.361,0.139,
org_gpe_loc_count,continuous,100,100,0.39,0.89,0.6948,0.9089,0.5,0.6181,2.06e-05,7.09e-06,
date_time_count,continuous,100,100,0.07,0.34,0.4324,0.5724,0.27,0.5323,0.000225,2.47e-06,
cardinal_count,continuous,100,100,0.15,0.11,0.386,0.3145,-0.04,-0.1136,0.423,0.509,
noun_chunk_count,continuous,100,100,3.42,3.89,1.4083,1.6011,0.47,0.3117,0.0287,0.0272,
verb_count,continuous,100,100,0.9,1.3,0.8587,0.8933,0.4,0.4565,0.00146,0.000837,
propn_count,continuous,100,100,1.41,2.78,1.8318,1.9467,1.37,0.7248,7.06e-07,1.1e-07,
has_quote,binary,100,100,0.1,0.18,,,0.08,,,,0.154
is_definition,binary,100,100,0.24,0.04,,,-0.2,,,,0.000108
is_yesno,binary,100,100,0.06,0.02,,,-0.04,,,,0.279
is_comparison,binary,100,100,0.16,0.04,,,-0.12,,,,0.00952
has_person_entity,binary,100,100,0.24,0.35,,,0.11,,,,0.121
has_date_entity,binary,100,100,0.04,0.29,,,0.25,,,,4.83e-06
has_number_entity,binary,100,100,0.14,0.11,,,-0.03,,,,0.669
starts_with_why,binary,100,100,0.0,0.0,,,0.0,,,,nan
starts_with_how,binary,100,100,0.01,0.0,,,-0.01,,,,1
starts_with_what,binary,100,100,0.38,0.19,,,-0.19,,,,0.00481
starts_with_who,binary,100,100,0.08,0.13,,,0.05,,,,0.356
starts_with_when,binary,100,100,0.01,0.06,,,0.05,,,,0.124
starts_with_where,binary,100,100,0.08,0.01,,,-0.07,,,,0.0407
starts_with_which,binary,100,100,0.07,0.19,,,0.12,,,,0.0207
